1972,100,Pocket Money,Comedy,"Newman, Paul","Rosenberg, Stuart"
1977,102,Mary White,Drama,"Flanders, Ed","Taylor, Jud"
1990,105,Guilty by Suspicion,Drama,"De Niro, Robert","Winkler, Irwin"
1948,99,Secret Beyond the Door,Mystery,"Redgrave, Michael","Lang, Fritz"
1945,103,Scarlet Street,Drama,"Robinson, Edward G.","Lang, Fritz"
1988,76,Daffy Duck's Quackbusters,Action,"Blanc, Mel","Ford, Greg"
1985,55,Rowlf's Rhapsodies with the Muppets,Comedy,"Burns, George",
1982,188,Gandhi,Drama,"Kingsley, Ben","Attenborough, Richard"
1975,120,"Wind & the Lion, The",Action,"Connery, Sean","Milius, John"
1971,96,Carnal Knowledge,Drama,"Nicholson, Jack","Nichols, Mike"
1970,126,Getting Straight,Comedy,"Gould, Elliott","Rush, Richard"
1972,90,"Scarlet Letter, The",Drama,"Albaicín, Rafael","Wenders, Wim"
1935,75,"Count of Old Town, The",Comedy,"Adolphson, Edvin","Adolphson, Edvin"
1978,97,Autumn Sonata,Drama,"Björk, Halvar","Bergman, Ingmar"
1944,114,Gaslight,Drama,"Boyer, Charles","Cukor, George"
1958,100,Indiscreet,Drama,"Grant, Cary","Donen, Stanley"
1941,75,Walpurgis Night,Drama,"Sjöström, Victor","Edgren, Gustaf"
1948,100,Joan of Arc,Drama,"Ferrer, Jose","Fleming, Victor"
1982,195,A Woman Called Golda,Drama,"Beatty, Ned","Gibson, Alan"
1969,98,A Walk in the Spring Rain,Drama,"Quinn, Anthony","Green, Guy"
1949,117,Under Capricorn,Drama,"Cotten, Joseph","Hitchcock, Alfred"
1946,101,Notorious,Mystery,"Grant, Cary","Hitchcock, Alfred"
1940,90,June Night,Drama,"Widgren, Olof","Lindberg, Per"
1961,120,Goodbye Again,Drama,"Perkins, Anthony","Litvak, Anatole"
1956,106,Anastasia,Drama,"Tamiroff, Akim","Litvak, Anatole"
1945,126,"Bells of St. Mary's, The",Drama,"Crosby, Bing","McCarey, Leo"
1937,91,Intermezzo,Drama,"Ekman, Gösta","Molander, Gustaf"
1938,104,A Woman's Face,Drama,"Svennberg, Tore","Molander, Gustaf"
1935,90,Swedenhielms,Drama,"Westergren, Håkan","Molander, Gustaf"
1939,87,Only One Night,Drama,"Adolphson, Edvin","Molander, Gustav"
1938,74,Dollar,Drama,"Rydeberg, Georg","Molander, Gustav"
1956,98,Elena & Her Men,Drama,"Ferrer, Mel","Renoir, Jean"
1952,110,Europa Fifty-One,Drama,"Knox, Alexander","Rossellini, Roberto"
1953,83,Voyage in Italy,Drama,"Sanders, George","Rossellini, Roberto"
1954,81,Fear,Drama,"Wieman, Mathias","Rossellini, Roberto"
1950,107,Stromboli,Drama,"Vitale, Mario","Rossellini, Roberto"
1969,103,Cactus Flower,Comedy,"Matthau, Walter","Saks, Gene"
1989,105,Hideaways,Comedy,"Conover, Bruce",
1990,90,Twenty Four Hours in a Woman's Life,Drama,"Torn, Rip",
1987,91,Programmed to Kill,Action,"Ginty, Robert","Holzman, Allan"
1982,128,Conan the Barbarian,Action,"Schwarzenegger, Arnold","Milius, John"
